site,elevation,aspect,seedling,treatment,date,survival,leaf_length,shrub_freq_0_20,shrub freq_21_40,shrub_freq_41_60
1,1855,NW,1,gap,13/3/17,0,0,3,0,0
1,1855,NW,2,control,13/3/17,1,2,3,0,0
1,1855,NW,3,gap,13/3/17,1,1.8,3,0,0
1,1855,NW,4,control,13/3/17,1,2.4,3,0,0
1,1855,NW,5,gap,13/3/17,1,1.8,3,0,0
1,1855,NW,6,control,13/3/17,1,2.8,3,0,0
1,1855,NW,7,gap,13/3/17,1,3.5,3,0,0
1,1855,NW,8,control,13/3/17,1,4,3,0,0
1,1855,NW,9,gap,13/3/17,1,1.2,3,0,0
1,1855,NW,10,control,13/3/17,1,1.9,3,0,0
1,1855,NW,11,gap,13/3/17,0,0,3,0,0
1,1855,NW,12,control,13/3/17,1,5.5,3,0,0
1,1855,NW,13,gap,13/3/17,1,4,3,0,0
1,1855,NW,14,control,13/3/17,1,5.5,3,0,0
1,1855,NW,15,gap,13/3/17,1,3.7,3,0,0
1,1855,NW,16,control,13/3/17,0,0,3,0,0
1,1855,NW,17,gap,13/3/17,1,2,3,0,0
1,1855,NW,18,control,13/3/17,1,3.2,3,0,0
1,1855,NW,19,gap,13/3/17,0,0,3,0,0
1,1855,NW,20,control,13/3/17,1,4,3,0,0
1,1855,NW,21,gap,13/3/17,1,2,3,0,0
1,1855,NW,22,control,13/3/17,1,4.8,3,0,0
1,1855,NW,23,gap,13/3/17,1,2.7,3,0,0
1,1855,NW,24,control,13/3/17,1,1.8,3,0,0
1,1855,NW,25,gap,13/3/17,1,2,3,0,0
1,1855,NW,26,control,13/3/17,1,3.3,3,0,0
2,1860,SE,1,gap,13/3/17,0,0,0.115,0,0
2,1860,SE,2,control,13/3/17,1,2.5,0.115,0,0
2,1860,SE,3,gap,13/3/17,1,3,0.115,0,0
2,1860,SE,4,control,13/3/17,1,2.8,0.115,0,0
2,1860,SE,5,gap,13/3/17,1,3,0.115,0,0
2,1860,SE,6,control,13/3/17,1,2.5,0.115,0,0
2,1860,SE,7,gap,13/3/17,1,3,0.115,0,0
2,1860,SE,8,control,13/3/17,1,4.1,0.115,0,0
2,1860,SE,9,gap,13/3/17,1,3.2,0.115,0,0
2,1860,SE,10,control,13/3/17,1,6,0.115,0,0
2,1860,SE,11,gap,13/3/17,1,2,0.115,0,0
2,1860,SE,12,control,13/3/17,0,0,0.115,0,0
2,1860,SE,13,gap,13/3/17,1,1.9,0.115,0,0
2,1860,SE,14,control,13/3/17,1,2,0.115,0,0
2,1860,SE,15,gap,13/3/17,1,3,0.115,0,0
2,1860,SE,16,control,13/3/17,1,3.5,0.115,0,0
2,1860,SE,17,gap,13/3/17,1,4,0.115,0,0
2,1860,SE,18,control,13/3/17,1,4,0.115,0,0
2,1860,SE,19,gap,13/3/17,1,4.5,0.115,0,0
2,1860,SE,20,control,13/3/17,1,3.7,0.115,0,0
2,1860,SE,21,gap,13/3/17,1,2.2,0.115,0,0
2,1860,SE,22,control,13/3/17,1,4,0.115,0,0
2,1860,SE,23,gap,13/3/17,1,1.5,0.115,0,0
2,1860,SE,24,control,13/3/17,1,2.5,0.115,0,0
2,1860,SE,25,gap,13/3/17,1,2.8,0.115,0,0
2,1860,SE,26,control,13/3/17,1,2.7,0.115,0,0
5,1820,NW,1,gap,13/3/17,1,3.7,0.8,0.065,0
5,1820,NW,2,control,13/3/17,1,4.5,0.8,0.065,0
5,1820,NW,3,gap,13/3/17,1,5.1,0.8,0.065,0
5,1820,NW,4,control,13/3/17,1,5.4,0.8,0.065,0
5,1820,NW,5,gap,13/3/17,1,3,0.8,0.065,0
5,1820,NW,6,control,13/3/17,1,5.2,0.8,0.065,0
5,1820,NW,7,gap,13/3/17,1,4,0.8,0.065,0
5,1820,NW,8,control,13/3/17,1,5.5,0.8,0.065,0
5,1820,NW,9,gap,13/3/17,1,2.2,0.8,0.065,0
5,1820,NW,10,control,13/3/17,1,7,0.8,0.065,0
5,1820,NW,11,gap,13/3/17,0,0,0.8,0.065,0
5,1820,NW,12,control,13/3/17,1,4.5,0.8,0.065,0
5,1820,NW,13,gap,13/3/17,1,3.8,0.8,0.065,0
5,1820,NW,14,control,13/3/17,1,5.2,0.8,0.065,0
5,1820,NW,15,gap,13/3/17,1,3.2,0.8,0.065,0
5,1820,NW,16,control,13/3/17,1,5.3,0.8,0.065,0
5,1820,NW,17,gap,13/3/17,1,4,0.8,0.065,0
5,1820,NW,18,control,13/3/17,1,5.3,0.8,0.065,0
5,1820,NW,19,gap,13/3/17,0,0,0.8,0.065,0
5,1820,NW,20,control,13/3/17,1,5.6,0.8,0.065,0
5,1820,NW,21,gap,13/3/17,1,3.2,0.8,0.065,0
5,1820,NW,22,control,13/3/17,1,5.5,0.8,0.065,0
5,1820,NW,23,gap,13/3/17,1,8.2,0.8,0.065,0
5,1820,NW,24,control,13/3/17,1,11,0.8,0.065,0
5,1820,NW,25,gap,13/3/17,1,6.5,0.8,0.065,0
5,1820,NW,26,control,13/3/17,0,0,0.8,0.065,0
6,1800,SE,1,gap,13/3/17,1,1.3,0.25,0,0
6,1800,SE,2,control,13/3/17,1,2.2,0.25,0,0
6,1800,SE,3,gap,13/3/17,1,3.3,0.25,0,0
6,1800,SE,4,control,13/3/17,0,0,0.25,0,0
6,1800,SE,5,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,6,control,13/3/17,1,3.6,0.25,0,0
6,1800,SE,7,gap,13/3/17,1,1.9,0.25,0,0
6,1800,SE,8,control,13/3/17,0,0,0.25,0,0
6,1800,SE,9,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,10,control,13/3/17,1,1.7,0.25,0,0
6,1800,SE,11,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,12,control,13/3/17,1,2.7,0.25,0,0
6,1800,SE,13,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,14,control,13/3/17,1,1.6,0.25,0,0
6,1800,SE,15,gap,13/3/17,1,1.8,0.25,0,0
6,1800,SE,16,control,13/3/17,0,0,0.25,0,0
6,1800,SE,17,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,18,control,13/3/17,1,2,0.25,0,0
6,1800,SE,19,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,20,control,13/3/17,0,0,0.25,0,0
6,1800,SE,21,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,22,control,13/3/17,1,3.2,0.25,0,0
6,1800,SE,23,gap,13/3/17,1,2,0.25,0,0
6,1800,SE,24,control,13/3/17,1,3.5,0.25,0,0
6,1800,SE,25,gap,13/3/17,0,0,0.25,0,0
6,1800,SE,26,control,13/3/17,0,0,0.25,0,0
9,1780,NW,1,gap,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,2,control,13/3/17,1,7.5,0.43,0.4,0.1
9,1780,NW,3,gap,13/3/17,1,0.1,0.43,0.4,0.1
9,1780,NW,4,control,13/3/17,1,6.7,0.43,0.4,0.1
9,1780,NW,5,gap,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,6,control,13/3/17,1,0.1,0.43,0.4,0.1
9,1780,NW,7,gap,13/3/17,1,8,0.43,0.4,0.1
9,1780,NW,8,control,13/3/17,1,7,0.43,0.4,0.1
9,1780,NW,9,gap,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,10,control,13/3/17,1,3.5,0.43,0.4,0.1
9,1780,NW,11,gap,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,12,control,13/3/17,1,9.5,0.43,0.4,0.1
9,1780,NW,13,gap,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,14,control,13/3/17,0,0,0.43,0.4,0.1
9,1780,NW,15,gap,13/3/17,1,2.5,0.43,0.4,0.1
9,1780,NW,16,control,13/3/17,1,2.2,0.43,0.4,0.1
9,1780,NW,17,gap,13/3/17,1,5,0.43,0.4,0.1
9,1780,NW,18,control,13/3/17,1,1.3,0.43,0.4,0.1
9,1780,NW,19,gap,13/3/17,1,3,0.43,0.4,0.1
9,1780,NW,20,control,13/3/17,1,4,0.43,0.4,0.1
9,1780,NW,21,gap,13/3/17,1,2.5,0.43,0.4,0.1
9,1780,NW,22,control,13/3/17,1,3.5,0.43,0.4,0.1
9,1780,NW,23,gap,13/3/17,1,1.5,0.43,0.4,0.1
9,1780,NW,24,control,13/3/17,1,2,0.43,0.4,0.1
9,1780,NW,25,gap,13/3/17,1,3,0.43,0.4,0.1
9,1780,NW,26,control,13/3/17,1,4.5,0.43,0.4,0.1
11,1700,NW,1,gap,13/3/17,1,9.6,0.6,0.535,0.33
11,1700,NW,2,control,13/3/17,1,12.3,0.6,0.535,0.33
11,1700,NW,3,gap,13/3/17,1,10,0.6,0.535,0.33
11,1700,NW,4,control,13/3/17,0,0,0.6,0.535,0.33
11,1700,NW,5,gap,13/3/17,1,10.5,0.6,0.535,0.33
11,1700,NW,6,control,13/3/17,1,12,0.6,0.535,0.33
11,1700,NW,7,gap,13/3/17,0,0,0.6,0.535,0.33
11,1700,NW,8,control,13/3/17,0,0,0.6,0.535,0.33
